"Hope College Schedule of Classes"
""
"HOPE COURSE SCHEDULE"
"These are the search criteria you submitted :"
"Term: Fall 2010"
"Subj:   MUS "
"Crse Numb: %"
"Days: Any"
"Time: 0000-2359"
"Status: ANY"
"Attribute: ANY"
""
"FALL 2010 (201008)"
"Status","Title","Subject","Course Number","Section Number","CRN","Cred","Attr","Meeting Days/Times","","","","","","","","Location","Capacity","Actual","Remainder","WaitList","Instructor","Date","Weeks"
"COMPLETED","Viola","MUS","174","02","80614",3,"","TBA","","","","","","","","TBA",5,3,2,0,"Corbato, Barbara",08/31-12/10,16
"COMPLETED","Cello","MUS","175","01","80074",2,FA2,"TBA","","","","","","","","TBA",12,8,4,0,"Piippo, Richard G.",08/31-12/10,16
"COMPLETED","Cello","MUS","175","011","80839",2,"","TBA","","","","","","","","TBA",10,1,9,0,"Piippo, Richard G.",08/31-12/10,16
"COMPLETED","Cello","MUS","175","02","80075",3,"","TBA","","","","","","","","TBA",8,3,5,0,"Piippo, Richard G.",08/31-12/10,16
"COMPLETED","String Bass","MUS","176","01","80954",2,FA2,"TBA","","","","","","","","TBA",10,3,7,0,"Straus, Melissa M.",08/31-12/10,16
"COMPLETED","String Bass","MUS","176","02","80955",3,"","TBA","","","","","","","","TBA",10,1,9,0,"Straus, Melissa M.",08/31-12/10,16
"COMPLETED","Jazz Bass","MUS","176","03","80076",2,FA2,"TBA","","","","","","","","TBA",12,4,8,0,"Hoats, Charles D.",08/31-12/10,16
"COMPLETED","Jazz Bass","MUS","176","04","80689",3,"","TBA","","","","","","","","TBA",6,2,4,0,"Hoats, Charles D.",08/31-12/10,16
"COMPLETED","Organ","MUS","177","01","80077",2,FA2,"TBA","","","","","","","","TBA",10,3,7,0,"Lewis, Huw R.",08/31-12/10,16
"COMPLETED","Organ","MUS","177","011","80840",2,"","TBA","","","","","","","","TBA",10,2,8,0,"Lewis, Huw R.",08/31-12/10,16
"COMPLETED","Organ","MUS","177","02","80078",3,"","TBA","","","","","","","","TBA",10,3,7,0,"Lewis, Huw R.",08/31-12/10,16
"PERMISSION","Piano","MUS","179","01","80079",2,FA2,"TBA","","","","","","","","TBA",10,6,4,0,"Clark, Adam L.",08/31-12/10,16
"COMPLETED","Piano","MUS","179","011","80834",2,"","TBA","","","","","","","","TBA",10,3,7,0,"Clark, Adam L.",08/31-12/10,16
"PERMISSION","Piano","MUS","179","02","80080",3,"","TBA","","","","","","","","TBA",10,5,5,0,"Clark, Adam L.",08/31-12/10,16
"PERMISSION","Piano","MUS","179","03","80081",2,FA2,"TBA","","","","","","","","TBA",20,8,12,0,"Le, Andrew C.",08/31-12/10,16
"COMPLETED","Piano","MUS","179","031","80835",2,"","TBA","","","","","","","","TBA",10,0,10,0,"Le, Andrew C.",08/31-12/10,16
"PERMISSION","Piano","MUS","179","04","80082",3,"","TBA","","","","","","","","TBA",15,10,5,0,"Le, Andrew C.",08/31-12/10,16
"PERMISSION","Piano","MUS","179","05","80885",2,FA2,"TBA","","","","","","","","TBA",15,11,4,0,"Aschbrenner, Charles",08/31-12/10,16
"COMPLETED","Piano","MUS","179","07","81253",2,FA2,"TBA","","","","","","","","TBA",10,8,2,0,"Kolean, Lora L.",08/31-12/10,16
